"","ENT_COMB","ENT","Entry","Row","Range","Block","Serpentine","treatment","Fall.Alfalfa.Stand.Count","Fall.IWG.Stand.Count","Fall.Alfalfa.Height","Fall.IWG.Height","Alfalfa.winter.survival","Spring.Alfalfa.stand.count","Spring.Alfalfa.vigor","Spring.Alfalfa.maturity","Spring.disease.incidence","Spring.disease.severity","Spring.Alfalfa.height","Spring.IWG.height","Seed/Plot g","coated","Chalcids","Entry2"
"1","7 IWAF-L-WI1","7","IWAF_L_WI1",1,1,"1","1","monoculture",23,14,4.25,4.75,1,100,3,2,10,1,69.6,65.4,1.6,"no","TRUE","IWAF_L_WI1"
"6","26 UMN #5560","26","UMN5560",2,3,"3","6","intercrop",33,33,4.5,8.5,1,95,3,3,15,2,66,74.6,1.6,"no","TRUE","UMN5560"
"7","5 IWAF-L-MN1","5","IWAF_L_MN1",2,2,"2","7","intercrop",25,38,3.75,10.5,1.4,100,5,3,10,3,69.6,76.4,1.6,"no","TRUE","IWAF_L_MN1"
"9","6 IWAF-H-MN1","6","IWAF_H_MN1",3,1,"1","9","intercrop",20,51,4,8,1.6,85,2,2,5,1,67,73.2,1.6,"no","FALSE","IWAF_H_MN1"
"10","26 UMN #5560","26","UMN5560",3,2,"2","10","monoculture",30,20,3.25,3.75,1.2,90,2,2,0,0,59.8,70.4,1.6,"no","TRUE","UMN5560"
"11","27 UMN #5561","27","UMN5561",3,3,"3","11","intercrop",16,45,4.75,9.5,1.4,80,3,2,15,3,65.6,72.2,1.6,"no","TRUE","UMN5561"
"14","7 IWAF-L-WI1","7","IWAF_L_WI1",4,3,"3","14","monoculture",32,27,3.25,3.5,1.4,95,5,3,15,1,70.8,71,1.6,"no","TRUE","IWAF_L_WI1"
"18","27 UMN #5561","27","UMN5561",5,2,"2","18","intercrop",20,45,4,7,1.4,90,3,2,5,1,67.8,77.8,1.6,"no","TRUE","UMN5561"
"19","8 IWAF-H-WI1","8","IWAF_H_WI1",5,3,"3","19","intercrop",20,37,3.75,8.25,1,95,3,2,15,1,61.6,75.6,1.6,"no","TRUE","IWAF_H_WI1"
"21","6 IWAF-H-MN1","6","IWAF_H_MN1",6,4,"4","21","intercrop",35,36,4.5,9.25,1,100,4,3,20,1,71.4,75,1.6,"no","FALSE","IWAF_H_MN1"
"24","6 IWAF-H-MN1","6","IWAF_H_MN1",6,1,"1","24","monoculture",24,33,4.5,3.75,1,100,4,2,15,2,67.8,67.2,1.6,"no","FALSE","IWAF_H_MN1"
"26","27 UMN #5561","27","UMN5561",7,2,"2","26","monoculture",23,20,3.5,3,2,95,1,2,10,1,61,59.6,1.6,"no","TRUE","UMN5561"
"28","27 UMN #5561","27","UMN5561",7,4,"4","28","intercrop",13,39,4.5,8.5,1.4,90,2,2,10,1,63.6,70.2,1.6,"no","TRUE","UMN5561"
"29","8 IWAF-H-WI1","8","IWAF_H_WI1",8,4,"4","29","intercrop",15,28,5,9.25,1.2,100,5,2,20,1,72.4,68.2,1.6,"no","TRUE","IWAF_H_WI1"
"31","5 IWAF-L-MN1","5","IWAF_L_MN1",8,2,"2","31","monoculture",23,21,3.5,3,1,95,4,2,10,1,64.8,59.4,1.6,"no","TRUE","IWAF_L_MN1"
"32","26 UMN #5560","26","UMN5560",8,1,"1","32","intercrop",27,35,3.25,9.25,1.2,100,3,3,10,1,71,75.4,1.6,"no","TRUE","UMN5560"
"36","5 IWAF-L-MN1","5","IWAF_L_MN1",9,4,"4","36","monoculture",29,21,4.75,5.5,1,90,4,2,15,2,65.8,61.4,1.6,"no","TRUE","IWAF_L_MN1"
"38","5 IWAF-L-MN1","5","IWAF_L_MN1",10,3,"3","38","intercrop",17,31,3.75,8.75,1.2,85,3,3,0,0,66.2,74.2,1.6,"no","TRUE","IWAF_L_MN1"
"42","6 IWAF-H-MN1","6","IWAF_H_MN1",11,2,"2","42","intercrop",22,51,4.25,8,1.2,95,4,2,0,0,69.4,75.8,1.6,"no","FALSE","IWAF_H_MN1"
"45","3 IWAF-L-KS1","3","IWAF_L_KS1",12,4,"4","45","intercrop",24,39,5.75,9,1.2,100,5,3,20,1,68,67.8,1.6,"no","FALSE","IWAF_L_KS1"
"48","3 IWAF-L-KS1","3","IWAF_L_KS1",12,1,"1","48","monoculture",22,23,5.25,3.75,1,100,4,3,5,1,78,72.2,1.6,"no","FALSE","IWAF_L_KS1"
"51","3 IWAF-L-KS1","3","IWAF_L_KS1",13,3,"3","51","monoculture",22,12,3.75,2.75,1,95,3,2,10,1,67.2,66.6,1.6,"no","FALSE","IWAF_L_KS1"
"52","26 UMN #5560","26","UMN5560",13,4,"4","52","intercrop",29,44,4.5,9.25,1.4,95,2,3,20,1,72.2,67.6,1.6,"no","TRUE","UMN5560"
"53","5 IWAF-L-MN1","5","IWAF_L_MN1",14,4,"4","53","intercrop",28,27,5.5,9,1,100,5,3,20,1,73.8,69.6,1.6,"no","TRUE","IWAF_L_MN1"
"57","20 Larry15","20","Larry15",15,1,"1","57","monoculture",11,45,3,5,1.2,95,3,2,0,0,74.2,68.6,1.6,"no","FALSE","Larry15"
"60","27 UMN #5561","27","UMN5561",15,4,"4","60","monoculture",21,45,4.5,4.75,1.4,95,1,3,20,1,65.6,66.4,1.6,"no","TRUE","UMN5561"
"61","8 IWAF-H-WI1","8","IWAF_H_WI1",16,4,"4","61","monoculture",35,38,4.25,4.25,1,95,3,3,5,1,68.8,63.6,1.6,"no","TRUE","IWAF_H_WI1"
"62","3 IWAF-L-KS1","3","IWAF_L_KS1",16,3,"3","62","intercrop",24,51,3.75,8.5,1,95,2,2,0,0,67,76.8,1.6,"no","FALSE","IWAF_L_KS1"
"64","8 IWAF-H-WI1","8","IWAF_H_WI1",16,1,"1","64","intercrop",19,57,4.25,10,1.2,95,4,3,10,1,76.2,78.2,1.6,"no","TRUE","IWAF_H_WI1"
"66","8 IWAF-H-WI1","8","IWAF_H_WI1",17,2,"2","66","intercrop",17,60,3.5,8.25,1.2,100,2,2,0,0,66,77.6,1.6,"no","TRUE","IWAF_H_WI1"
"68","20 Larry15","20","Larry15",17,4,"4","68","intercrop",15,39,3.25,7.75,1.2,90,1,2,5,1,68.4,75.4,1.6,"no","FALSE","Larry15"
"72","27 UMN #5561","27","UMN5561",18,1,"1","72","intercrop",17,38,4,9.25,1,95,1,2,5,1,69,72,1.6,"no","TRUE","UMN5561"
"74","26 UMN #5560","26","UMN5560",19,2,"2","74","intercrop",25,43,4.5,8.25,1.2,95,2,3,5,1,61.6,79.8,1.6,"no","TRUE","UMN5560"
"75","7 IWAF-L-WI1","7","IWAF_L_WI1",19,3,"3","75","intercrop",17,52,3,6.5,2,95,2,2,0,0,65.8,74.6,1.6,"no","TRUE","IWAF_L_WI1"
"78","20 Larry15","20","Larry15",20,3,"3","78","monoculture",14,38,2.25,3.25,1.4,90,1,2,0,0,62.2,56.6,1.6,"no","FALSE","Larry15"
"79","8 IWAF-H-WI1","8","IWAF_H_WI1",20,2,"2","79","monoculture",19,31,3.25,3.75,1.4,100,1,2,5,1,63.4,64,1.6,"no","TRUE","IWAF_H_WI1"
"81","7 IWAF-L-WI1","7","IWAF_L_WI1",21,1,"1","81","intercrop",17,46,5,9.5,1,95,1,2,5,1,64.8,74,1.6,"no","TRUE","IWAF_L_WI1"
"85","7 IWAF-L-WI1","7","IWAF_L_WI1",22,4,"4","85","intercrop",18,26,3.25,9,1.2,95,3,3,0,0,71.8,77,1.6,"no","TRUE","IWAF_L_WI1"
"86","20 Larry15","20","Larry15",22,3,"3","86","intercrop",17,32,2.5,8.75,2,90,1,2,0,0,63.6,79.8,1.6,"no","FALSE","Larry15"
"90","3 IWAF-L-KS1","3","IWAF_L_KS1",23,2,"2","90","intercrop",23,31,5,9,1,100,4,3,15,1,65.6,81.4,1.6,"no","FALSE","IWAF_L_KS1"
"99","6 IWAF-H-MN1","6","IWAF_H_MN1",25,3,"3","99","intercrop",34,45,4,8.25,1.2,100,3,2,5,2,62.4,77,1.6,"no","FALSE","IWAF_H_MN1"
"101","26 UMN #5560","26","UMN5560",26,4,"4","101","monoculture",28,33,4.75,3.75,1.2,100,3,3,0,0,73.2,61.6,1.6,"no","TRUE","UMN5560"
"104","3 IWAF-L-KS1","3","IWAF_L_KS1",26,1,"1","104","intercrop",19,41,5,10,1,100,5,2,0,0,72.2,78.6,1.6,"no","FALSE","IWAF_L_KS1"
"112","20 Larry15","20","Larry15",28,1,"1","112","intercrop",13,41,3.75,10,1.4,95,2,2,0,0,66,76.6,1.6,"no","FALSE","Larry15"
"114","20 Larry15","20","Larry15",29,2,"2","114","intercrop",14,43,2.75,8.5,1.2,95,3,3,0,0,63.8,75,1.6,"no","FALSE","Larry15"
"115","6 IWAF-H-MN1","6","IWAF_H_MN1",29,3,"3","115","monoculture",24,39,4,4.25,1,95,4,3,15,1,62,64.4,1.6,"no","FALSE","IWAF_H_MN1"
"121","5 IWAF-L-MN1","5","IWAF_L_MN1",31,1,"1","121","intercrop",20,54,5.5,8.25,1,100,5,3,10,1,65.8,75.2,1.6,"no","TRUE","IWAF_L_MN1"
"122","7 IWAF-L-WI1","7","IWAF_L_WI1",31,2,"2","122","intercrop",25,40,3.75,8.75,1,95,3,2,0,0,66,73.6,1.6,"no","TRUE","IWAF_L_WI1"
